,Ano,Coeficiente de Aglomeração,Ordem,Tamanho,Grau Médio,Tamanho Médio,Quantidade Arestas
0,2010,0.8626262626262626,11,32,5.818181818181818,7.0625,32
1,2011,0.868480640136967,573,7521,26.25130890052356,5.5222709746044405,7521
2,2012,0.879434438418359,1230,12917,21.003252032520326,2.891847952310908,12917
3,2013,0.8325896752227444,1786,20945,23.45464725643897,2.612938648842206,20945
4,2014,0.743141728274806,1538,12261,15.94408322496749,3.3193051137753855,12261
5,2015,0.7358752422761706,1484,11229,15.133423180592992,3.4442069641107844,11229
6,2016,0.7463196383056518,1358,6801,10.01620029455081,3.2237906190266137,6801
7,2017,0.5749816392520144,484,1106,4.570247933884297,2.9683544303797467,1106
8,2018,0.6620581433245689,180,810,9.0,3.667901234567901,810
9,2019,0.8054700854700855,15,36,4.8,3.2222222222222223,36
10,2020,0.5973265192601863,47,100,4.25531914893617,2.42,100